=== 2026-04-05T20:17:06-04:00 neuner_vs_alphabeta start cwd=/hpc/home/wjn7/catan_ai ===
=== GPU check ===
GPU 0: NVIDIA RTX 5000 Ada Generation (UUID: GPU-59c4ee0f-b317-ac8a-e75d-67c9e2b77278)
torch 2.10.0+cu128 cuda_available True
NVIDIA RTX 5000 Ada Generation
Effective config:
  preset=none difficulty=medium
  games=1000000 train=True
  placement_strategy=alphabeta
  enemy_fixed_schedule=False
  enemy_smooth_mix=False

Main agent ready      (6,295,286 params, obs=1259, actions=245)
Placement agent ready (alphabeta(depth=2, prunning=True))
Device: cuda
Run configuration:
  Main agent: 6,295,286 params (obs=1259, actions=245)
  Main weights: /hpc/home/wjn7/catan_ai/capstone_agent/models/capstone_model.pt
  Placement agent: strategy=alphabeta, alphabeta(depth=2, prunning=True)
  Placement weights: [none loaded]
  Opponent: alphabeta (depth=2, prunning=True)
  Self-play ladder: disabled
  Map: TOURNAMENT / fixed (seed=0)
  Training: enabled, trigger=steps, every 4096 transitions, periodic_save_every=2000 games, numbered main checkpoint copies
  Replay JSON save: enabled, dir=/hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/replays, every 100 games
  Benchmark CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/benchmark_games.csv
  PPO metrics CSV: /hpc/home/wjn7/catan_ai/capstone_agent/models/neuner_vs_alphabeta/ppo_training.csv
  Device: cuda

  trained PPO on 4132 buffered transitions (games in batch: 39; trigger=steps: buffered transitions reached 4132)
Game  127/1000000:       LOST  steps=  79  reward=-0.8  [wr300=0.8%(127); by_enemy: alphabeta@2=0.8%(127)]
Game  128/1000000:       LOST  steps=  76  reward=-0.8  [wr300=0.8%(128); by_enemy: alphabeta@2=0.8%(128)]
Game  129/1000000:       LOST  steps=  90  reward=-0.9  [wr300=0.8%(129); by_enemy: alphabeta@2=0.8%(129)]
Game  130/1000000:       LOST  steps=  98  reward=-0.8  [wr300=0.8%(130); by_enemy: alphabeta@2=0.8%(130)]
Game  131/1000000:       LOST  steps= 105  reward=-0.8  [wr300=0.8%(131); by_enemy: alphabeta@2=0.8%(131)]
Game  132/1000000:       LOST  steps=  75  reward=-0.8  [wr300=0.8%(132); by_enemy: alphabeta@2=0.8%(132)]
Game  133/1000000:       LOST  steps= 151  reward=-0.7  [wr300=0.8%(133); by_enemy: alphabeta@2=0.8%(133)]
Game  134/1000000:       LOST  steps= 115  reward=-0.7  [wr300=0.7%(134); by_enemy: alphabeta@2=0.7%(134)]
Game  135/1000000:       LOST  steps=  87  reward=-0.7  [wr300=0.7%(135); by_enemy: alphabeta@2=0.7%(135)]
Game  136/1000000:       LOST  steps= 113  reward=-0.8  [wr300=0.7%(136); by_enemy: alphabeta@2=0.7%(136)]
Game  137/1000000:       LOST  steps=  74  reward=-0.8  [wr300=0.7%(137); by_enemy: alphabeta@2=0.7%(137)]
Game  138/1000000:       LOST  steps=  81  reward=-0.9  [wr300=0.7%(138); by_enemy: alphabeta@2=0.7%(138)]
Game  139/1000000:       LOST  steps=  85  reward=-0.8  [wr300=0.7%(139); by_enemy: alphabeta@2=0.7%(139)]
Game  140/1000000:       LOST  steps= 117  reward=-0.8  [wr300=0.7%(140); by_enemy: alphabeta@2=0.7%(140)]
Game  141/1000000:       LOST  steps=  79  reward=-0.8  [wr300=0.7%(141); by_enemy: alphabeta@2=0.7%(141)]
Game  142/1000000:       LOST  steps= 105  reward=-0.9  [wr300=0.7%(142); by_enemy: alphabeta@2=0.7%(142)]
Game  143/1000000:       LOST  steps= 147  reward=-0.6  [wr300=0.7%(143); by_enemy: alphabeta@2=0.7%(143)]
Game  144/1000000:       LOST  steps= 160  reward=-0.7  [wr300=0.7%(144); by_enemy: alphabeta@2=0.7%(144)]
Game  145/1000000:       LOST  steps= 140  reward=-0.8  [wr300=0.7%(145); by_enemy: alphabeta@2=0.7%(145)]
Game  146/1000000:       LOST  steps=  75  reward=-0.8  [wr300=0.7%(146); by_enemy: alphabeta@2=0.7%(146)]
Game  147/1000000:       LOST  steps=  72  reward=-0.8  [wr300=0.7%(147); by_enemy: alphabeta@2=0.7%(147)]
Game  148/1000000:       LOST  steps=  80  reward=-0.8  [wr300=0.7%(148); by_enemy: alphabeta@2=0.7%(148)]
Game  149/1000000:       LOST  steps= 126  reward=-0.7  [wr300=0.7%(149); by_enemy: alphabeta@2=0.7%(149)]
Game  150/1000000:       LOST  steps=  96  reward=-0.9  [wr300=0.7%(150); by_enemy: alphabeta@2=0.7%(150)]
Game  151/1000000:       LOST  steps= 105  reward=-0.7  [wr300=0.7%(151); by_enemy: alphabeta@2=0.7%(151)]
